"artist","song","explicit","year","popularity","speechiness","tempo","loudness","acousticness","valence"
"Nelly","Country Grammar (Hot Shit)",TRUE,2000,68,0.108,162.831,-6.822,0.00689,0.565
"Shaggy","It Wasn't Me",FALSE,2000,76,0.0713,94.759,-4.596,0.0561,0.654
"Destiny's Child","Survivor",FALSE,2001,70,0.41,161.109,-2.027,0.0559,0.619
"Eminem","Stan",TRUE,2000,83,0.238,80.063,-4.325,0.0371,0.507
"Kylie Minogue","Can't Get You out of My Head",FALSE,2001,73,0.0339,126.007,-7.516,0.0263,0.964
"Christina Aguilera","Lady Marmalade - From ""Moulin Rouge"" Soundtrack",FALSE,2001,68,0.0534,109.919,-3.769,0.0144,0.653
"Nelly Furtado","I'm Like A Bird",FALSE,2000,1,0.036,89.661,-5.085,0.138,0.607
"Shakira","Whenever, Wherever",FALSE,2001,74,0.0407,107.657,-4.862,0.237,0.871
"Jimmy Eat World","The Middle",FALSE,2001,78,0.0526,162.152,-5.428,0.0371,0.903
"Train","Drops of Jupiter (Tell Me)",FALSE,2001,77,0.0276,79.064,-5.862,0.153,0.497
"Geri Halliwell","It's Raining Men",FALSE,2001,62,0.0447,136.482,-6.03,0.063,0.604
"Blu Cantrell","Hit 'Em Up Style (Oops!)",FALSE,2001,71,0.0586,89.976,-4.983,0.201,0.667
"Britney Spears","I'm a Slave 4 U",FALSE,2001,69,0.106,110.027,-3.579,0.415,0.963
"Kylie Minogue","In Your Eyes",FALSE,2001,62,0.0672,123.971,-6.342,0.133,0.709
"Missy Elliott","One Minute Man (feat. Ludacris)",TRUE,2001,57,0.329,93.839,-8.419,0.0266,0.57
"Mary J. Blige","Family Affair",FALSE,2001,76,0.0449,92.887,-3.75,0.132,0.969
"Faithless","We Come 1 - Radio Edit",FALSE,2015,53,0.0441,135.977,-10.587,0.00188,0.61
"Limp Bizkit","Rollin' (Air Raid Vehicle)",TRUE,2000,73,0.171,96.306,-3.358,0.00591,0.709
"Lasgo","Something",FALSE,2001,65,0.0439,140.01,-6.644,0.0271,0.38
"iio","Rapture (feat.Nadia Ali)",FALSE,2006,54,0.0377,123.943,-8.403,0.0722,0.601
"Emma Bunton","What Took You So Long?",FALSE,2001,54,0.0307,118.011,-5.4,0.123,0.911
"112","It's Over Now",FALSE,2001,57,0.0409,97.988,-4.541,0.0106,0.233
"Blue","All Rise",FALSE,2001,63,0.0324,97.996,-2.734,0.121,0.931
"Jessica Simpson","Irresistible",FALSE,2001,43,0.0556,93.013,-2.771,0.0285,0.669
"Crazy Town","Butterfly",FALSE,1999,71,0.081,103.502,-4.17,0.00132,0.609
"Michael Jackson","You Rock My World",FALSE,2001,64,0.185,95,-3.132,0.038,0.955
