"artist","song","explicit","year","popularity","speechiness","tempo","genre"
"Jennifer Lopez","Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix",FALSE,2002,70,0.188,100,"hip hop, pop, R&B"
"Black Eyed Peas","Shut Up",FALSE,2003,56,0.243,112.968,"hip hop, pop"
"t.A.T.u.","All The Things She Said",TRUE,2020,39,0.0474,179.92,"pop"
"Benny Benassi","Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz",FALSE,2003,66,0.104,130.017,"pop, Dance/Electronic"
"Panjabi MC","Mundian to Bach Ke",FALSE,2003,61,0.0371,98.077,"World/Traditional, hip hop"
"Mis-Teeq","Scandalous - U.S. Radio Edit",FALSE,2004,59,0.0349,99.971,"pop, Dance/Electronic"
"JAY-Z","03' Bonnie & Clyde",TRUE,2002,71,0.314,89.64,"hip hop"
"50 Cent","P.I.M.P.",TRUE,2003,76,0.346,84.722,"hip hop, pop"
"Jamelia","Superstar",FALSE,2003,69,0.0356,110.01,"pop"
"Linkin Park","Faint",FALSE,2003,72,0.131,135.095,"rock, metal"
"DMX","X Gon' Give It To Ya",TRUE,2007,70,0.183,95.027,"hip hop, pop"
"Evanescence","Bring Me To Life",FALSE,2003,79,0.0698,94.612,"metal"
"Sugababes","Hole In The Head",FALSE,2003,57,0.0309,125.011,"pop, R&B"
"Craig David","Rise & Fall (feat. Sting)",FALSE,2002,59,0.0586,83.373,"hip hop, pop, R&B"
"Three Days Grace","I Hate Everything About You",FALSE,2003,72,0.0421,89.342,"rock, metal"
"Lil Jon & The East Side Boyz","Get Low",FALSE,2002,47,0.0396,101.043,"hip hop, pop"
"B2K","Bump, Bump, Bump (feat. P. Diddy)",FALSE,2003,62,0.21,95.508,"hip hop, pop, R&B"
"Baby Bash","Suga Suga",FALSE,2003,73,0.268,82.331,"hip hop, pop, R&B, latin"
"Aaliyah","Miss You - Main",FALSE,2002,36,0.0375,109.598,"hip hop, pop, R&B"
"Britney Spears","Me Against the Music (feat. Madonna) - LP Version / Video Mix",FALSE,2003,59,0.089,120.046,"pop"
"Blue","Sorry Seems To Be The Hardest Word",FALSE,2004,57,0.0305,78.955,"pop"
"Delta Goodrem","Lost Without You",FALSE,2003,54,0.0283,146.301,"pop"
"Justin Timberlake","Rock Your Body",FALSE,2002,76,0.141,100.972,"pop"
"The White Stripes","Seven Nation Army",FALSE,2003,3,0.0805,123.904,"rock, blues"
"Youngbloodz","Damn! (feat. Lil' Jon) - Club Mix",TRUE,2003,54,0.307,84.038,"hip hop, pop"
"Beyoncé","Baby Boy (feat. Sean Paul)",FALSE,2003,63,0.22,91.025,"pop, R&B"
"Lil' Kim","Magic Stick",TRUE,2019,47,0.272,92.98,"hip hop, pop, R&B"
"Christina Aguilera","Can't Hold Us Down (feat. Lil' Kim)",FALSE,2002,61,0.192,98.989,"pop"
"Nickelback","Someday",FALSE,2003,68,0.0391,163.118,"rock, metal"
"Blue","U Make Me Wanna - Radio Edit",FALSE,2003,48,0.0329,158.108,"pop"
"Ashanti","Rain On Me",FALSE,2003,50,0.0337,83.701,"hip hop, pop, R&B"
"Trapt","Headstrong",TRUE,2002,72,0.117,184.981,"rock, metal"
"Simply Red","Sunrise",FALSE,2008,58,0.029,105.987,"rock, R&B, Folk/Acoustic, pop"
"Lumidee","Never Leave You (Uh Oooh, Uh Oooh)",FALSE,2003,61,0.362,199.958,"pop, R&B"
"Girls Aloud","Sound Of The Underground",FALSE,2003,58,0.0365,163.944,"pop, Dance/Electronic"
"Nelly","Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster",FALSE,2016,52,0.295,87.025,"hip hop, pop, R&B"
"Room 5","Make Luv",FALSE,2003,57,0.116,124.814,"Dance/Electronic"
"Fatman Scoop","Be Faithful",TRUE,2009,49,0.295,101.129,"hip hop"
"Limp Bizkit","Behind Blue Eyes",FALSE,2003,70,0.0271,120.315,"metal"
"Sugababes","Too Lost In You",FALSE,2003,58,0.0287,98.014,"pop, R&B"
"50 Cent","Wanksta - From ""8 Mile"" Soundtrack",TRUE,2003,57,0.2,81.008,"hip hop, pop"
"Pharrell Williams","Frontin' (feat. Jay-Z) - Club Mix",TRUE,2003,67,0.13,102.009,"hip hop, pop"
"Chingy","Right Thurr",TRUE,2003,69,0.253,92.074,"hip hop, pop, R&B"
"Eminem","Sing For The Moment",TRUE,2002,71,0.137,163.961,"hip hop"
"Lil' Kim","The Jump Off (feat. Mr. Cheeks) - Remix",TRUE,2003,48,0.339,104.946,"hip hop, pop, R&B"
"Mýa","My Love Is Like...Wo - Main Mix",FALSE,2003,48,0.109,132.817,"pop, R&B"
"50 Cent","21 Questions",TRUE,2003,72,0.299,92.729,"hip hop, pop"
"Nelly","Air Force Ones",TRUE,2002,61,0.317,164.062,"hip hop, pop, R&B"
"Missy Elliott","Gossip Folks (feat. Ludacris)",TRUE,2002,57,0.505,121.732,"hip hop, pop, R&B"
"Girls Aloud","Jump",FALSE,2003,60,0.0346,134.465,"pop, Dance/Electronic"
"Ultrabeat","Pretty Green Eyes - Radio Edit",FALSE,2003,59,0.043,139.993,"pop, Dance/Electronic"
"Christina Aguilera","Fighter",FALSE,2002,67,0.201,188.899,"pop"
"Frankie J","Don't Wanna Try",FALSE,2003,49,0.0348,130.127,"hip hop, pop, R&B"
"Snoop Dogg","Beautiful",TRUE,2005,67,0.132,101.025,"hip hop, pop"
"Floetry","Say Yes",FALSE,2002,57,0.0743,117.901,"hip hop, pop, R&B"
"Ginuwine","In Those Jeans",TRUE,2003,59,0.0776,127.683,"hip hop, pop, R&B"
"Electric Six","Danger! High Voltage - Soulchild Radio Mix",FALSE,2003,0,0.0302,123.005,"rock"
"Rachel Stevens","Sweet Dreams My LA Ex - Radio Edit",FALSE,2003,38,0.138,130.036,"pop, Dance/Electronic"
"Ludacris","Stand Up",TRUE,2003,57,0.349,99.057,"hip hop, pop"
"Nas","I Can",FALSE,2002,58,0.182,95.313,"hip hop"
"3 Doors Down","When I'm Gone",FALSE,2002,67,0.0284,148.095,"pop, rock, metal"
"Tyrese","How You Gonna Act Like That",FALSE,2002,60,0.0457,112.913,"hip hop, pop, R&B"
"Justin Timberlake","Cry Me a River",FALSE,2002,73,0.183,73.898,"pop"
"Westlife","Mandy",FALSE,2003,57,0.0278,105.678,"pop"
"No Doubt","It's My Life",FALSE,2003,60,0.0282,126.326,"rock, pop"
"Amanda Perez","Angel",FALSE,2003,48,0.0473,143.772,"pop, R&B"
"JAY-Z","Excuse Me Miss",TRUE,2002,56,0.286,92.849,"hip hop"
"Kelly Rowland","Stole",FALSE,2002,54,0.0594,79.993,"hip hop, pop, R&B"
"Ashanti","Rock Wit U (Awww Baby)",FALSE,2003,65,0.0582,94.998,"hip hop, pop, R&B"
"Junior Senior","Move Your Feet",FALSE,2002,67,0.0803,118.877,"pop"
"Audioslave","Like a Stone",FALSE,2002,75,0.0276,107.849,"rock, metal"
"Sean Paul","Like Glue",FALSE,2002,61,0.319,97.917,"hip hop, pop"
"Jaheim","Put That Woman First",TRUE,2002,55,0.132,78.935,"pop, R&B"
"Jennifer Lopez","All I Have (feat. LL Cool J)",FALSE,2002,60,0.107,83.066,"hip hop, pop, R&B"
"Monica","So Gone",FALSE,2003,64,0.0981,81.975,"pop, R&B"
"Dido","White Flag",FALSE,2003,44,0.0401,169.951,"pop"
"The Roots","The Seed (2.0)",TRUE,2002,63,0.0357,111.121,"hip hop"
"Chingy","Holidae In",TRUE,2003,61,0.181,153.067,"hip hop, pop, R&B"
"Fabolous","Can't Let You Go (feat. Mike Shorey & Lil' Mo)",TRUE,2003,61,0.458,192.082,"hip hop, pop, R&B"
"Kelly Clarkson","Miss Independent",FALSE,2003,47,0.137,175.943,"pop, R&B"
"Ja Rule","Mesmerize",TRUE,2002,61,0.199,90.079,"hip hop, pop, R&B"
"Matchbox Twenty","Unwell",FALSE,2002,63,0.0403,80.718,"pop, rock"
"Outkast","The Way You Move (feat. Sleepy Brown)",TRUE,2003,66,0.0464,125.999,"hip hop, pop"
"Fabolous","Into You (feat. Tamia)",TRUE,2003,67,0.0523,182.12,"hip hop, pop, R&B"
"Switchfoot","Meant to Live",FALSE,2003,61,0.0457,151.551,"rock, pop"
"Good Charlotte","Lifestyles of the Rich & Famous",FALSE,2002,68,0.0374,106.22,"rock, metal"
"Wayne Wonder","No Letting Go",FALSE,2003,63,0.0444,100.215,"hip hop, R&B"
"The Strokes","Reptilia",FALSE,2003,74,0.0336,158.009,"rock"
"Avril Lavigne","I'm with You",FALSE,2002,70,0.0291,151.95,"pop"
"Will Young","Leave Right Now",FALSE,2003,55,0.0368,81.931,"pop"
"Usher","Yeah! (feat. Lil Jon & Ludacris)",FALSE,2004,81,0.112,105.018,"hip hop, pop, R&B"
"Maroon 5","This Love",FALSE,2002,77,0.0378,95.051,"pop"
"Britney Spears","Toxic",FALSE,2003,81,0.114,143.04,"pop"
"Outkast","Hey Ya!",FALSE,2003,80,0.0664,79.526,"hip hop, pop"
"Hoobastank","The Reason",FALSE,2003,79,0.029,82.952,"pop, rock, metal"
"Anastacia","Left Outside Alone",FALSE,2004,65,0.0321,102.847,"pop"
"Daddy Yankee","Gasolina",FALSE,2004,11,0.0618,96.009,"latin"
"Black Eyed Peas","Let's Get It Started - Spike Mix",FALSE,2004,53,0.126,104.923,"hip hop, pop"
"O-Zone","Dragostea Din Tei",FALSE,2004,56,0.0427,130.103,"pop"
"Terror Squad","Lean Back",TRUE,2004,67,0.415,95.321,"hip hop"
"Anastacia","Sick and Tired",FALSE,1999,56,0.0373,99.848,"pop"
"Gwen Stefani","What You Waiting For?",FALSE,2004,60,0.0628,136.027,"pop, R&B"
"Ashanti","Only U - No Intro",FALSE,2004,56,0.0434,94.547,"hip hop, pop, R&B"
"The Rasmus","In the Shadows",FALSE,2003,68,0.0275,105.991,"metal"
"Houston","I Like That",FALSE,2004,59,0.0968,106.997,"hip hop, pop"
"Beyoncé","Naughty Girl",FALSE,2003,63,0.0857,99.973,"pop, R&B"
"Linkin Park","Numb",FALSE,2003,81,0.0381,110.018,"rock, metal"
"Lloyd Banks","On Fire",TRUE,2004,61,0.22,94.857,"hip hop, pop"
"Akon","Locked Up",TRUE,2004,16,0.101,89.987,"pop"
"D12","My Band",TRUE,2004,73,0.0828,120.014,"hip hop, pop, rock"
"Jay Sean","Eyes On You - Radio Mix",FALSE,2004,42,0.0847,96.525,"hip hop, pop, R&B"
"Mario Winans","I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster",FALSE,2016,66,0.0462,97.007,"pop"
"Destiny's Child","Lose My Breath",FALSE,2004,61,0.0637,119.011,"pop, R&B"
"Eric Prydz","Call on Me - Radio Mix",FALSE,2004,72,0.375,126.342,"pop, Dance/Electronic"
"Ciara","Goodies (feat. Petey Pablo)",FALSE,2004,67,0.0491,102.017,"pop, R&B"
"Kelis","Trick Me",TRUE,2003,63,0.149,107.17,"pop, R&B, Dance/Electronic"
"LL Cool J","Headsprung",FALSE,2004,56,0.0284,99.916,"hip hop, pop, R&B"
"Spiderbait","Black Betty - Edit",FALSE,2004,63,0.0922,124.047,"rock"
"George Michael","Amazing",FALSE,2004,57,0.0394,128.429,"set()"
"Britney Spears","My Prerogative",FALSE,2004,53,0.118,111.014,"pop"
"Nina Sky","Move Ya Body",FALSE,2004,67,0.0432,121.057,"pop, R&B"
"Petey Pablo","Freek-A-Leek",TRUE,2003,56,0.254,104.917,"hip hop, pop"
"JAY-Z","Dirt Off Your Shoulder",TRUE,2003,53,0.318,163.971,"hip hop"
"Juanes","La Camisa Negra",FALSE,2004,70,0.0308,97.007,"pop, latin"
"Avril Lavigne","Nobody's Home",FALSE,2004,61,0.0497,185.406,"pop"
"Robbie Williams","Radio",FALSE,2004,33,0.0349,130.015,"pop, rock"
"Black Eyed Peas","Hey Mama",TRUE,2003,49,0.232,100.15,"hip hop, pop"
"Ying Yang Twins","Salt Shaker",TRUE,2003,61,0.128,101.965,"hip hop, pop"
"Enrique Iglesias","Not In Love - Radio Mix",FALSE,2003,37,0.0395,117.021,"pop, latin"
"Kelis","Milkshake",FALSE,2003,68,0.0439,112.968,"pop, R&B, Dance/Electronic"
"Linkin Park","Breaking the Habit",FALSE,2003,68,0.0303,100.021,"rock, metal"
"JoJo","Leave (Get Out) - Radio Edit",FALSE,2005,49,0.253,86.891,"hip hop, pop, R&B"
"Christina Milian","Dip It Low",FALSE,2004,45,0.104,169.131,"hip hop, pop, R&B"
"Avant","Read Your Mind",FALSE,2003,56,0.0711,73.108,"pop, R&B"
"Eminem","Just Lose It",TRUE,2004,67,0.0467,121.003,"hip hop"
"Snoop Dogg","Drop It Like It's Hot",TRUE,2004,39,0.216,92.063,"hip hop, pop"
"Sean Paul","I'm Still in Love with You (feat. Sasha)",FALSE,2002,68,0.172,87.002,"hip hop, pop"
"The Shapeshifters","Lola's Theme - Radio Edit",FALSE,2004,65,0.0536,123.925,"Dance/Electronic"
"D12","How Come",TRUE,2004,57,0.237,89.983,"hip hop, pop, rock"
"Basement Jaxx","Good Luck",FALSE,2003,0,0.162,154.07,"pop, Dance/Electronic"
"Kevin Lyttle","Turn Me On",FALSE,2004,67,0.0361,106.279,"hip hop"
"Chingy","One Call Away",FALSE,2003,61,0.183,162.519,"hip hop, pop, R&B"
"T.I.","Bring Em Out",TRUE,2004,63,0.257,98.579,"hip hop, pop"
"DJ Casper","Cha Cha Slide - Hardino Mix",FALSE,2004,51,0.125,131.012,"set()"
"Kylie Minogue","I Believe in You",FALSE,2004,47,0.0704,120.939,"pop, Dance/Electronic"
"Twista","Overnight Celebrity",TRUE,2004,66,0.179,134.199,"hip hop, pop, R&B"
"N.E.R.D","She Wants To Move",FALSE,2004,57,0.0786,115.012,"hip hop"
"Britney Spears","Everytime",FALSE,2003,63,0.0337,109.599,"pop"
"U2","Vertigo",FALSE,2004,64,0.0613,140.083,"World/Traditional, rock"
"Franz Ferdinand","Take Me Out",FALSE,2004,77,0.0377,104.561,"rock"
"J-Kwon","Tipsy - Club Mix",TRUE,2001,59,0.315,93.04,"hip hop, pop"
"G-Unit","Wanna Get To Know You",TRUE,2003,61,0.132,76.91,"hip hop, pop"
"Lil' Flip","Sunshine (feat. Lea)",TRUE,2004,42,0.0946,93.961,"hip hop, pop"
"Kanye West","Jesus Walks",TRUE,2004,73,0.323,87.312,"hip hop"
"Evanescence","My Immortal",FALSE,2003,72,0.0356,79.012,"metal"
"Nelly","My Place",TRUE,2004,57,0.0423,163.153,"hip hop, pop, R&B"
"Lemar","If There's Any Justice",FALSE,2004,46,0.0453,89.993,"R&B"
"Avril Lavigne","Don't Tell Me",FALSE,2004,58,0.0386,144.106,"pop"
"Twista","Slow Jamz",TRUE,2004,72,0.171,145.115,"hip hop, pop, R&B"
"Green Day","American Idiot",TRUE,2004,77,0.0639,186.113,"rock"
"Kelis","Millionaire",FALSE,2003,57,0.108,176.051,"pop, R&B, Dance/Electronic"
"Scissor Sisters","Comfortably Numb",FALSE,2004,43,0.0391,116.972,"pop, rock, Dance/Electronic"
"Alicia Keys","Diary (feat. Tony! Toni! Tone! & Jermaine Paul)",FALSE,2003,55,0.0317,127.932,"pop, R&B"
"Kanye West","Through The Wire",TRUE,2004,76,0.247,83.089,"hip hop"
"Special D.","Come With Me - Radio Edit",FALSE,2004,61,0.0803,139.982,"pop"
"Ludacris","Splash Waterfalls",TRUE,2003,48,0.409,145.894,"hip hop, pop"
"Avril Lavigne","My Happy Ending",TRUE,2004,68,0.0758,170.229,"pop"
"Eamon","Fuck It (I Don't Want You Back)",TRUE,2004,64,0.0653,68.507,"set()"
"Beyoncé","Me, Myself and I",FALSE,2003,62,0.0803,83.61,"pop, R&B"
"3 Doors Down","Here Without You",FALSE,2002,74,0.0252,143.994,"pop, rock, metal"
"Kanye West","All Falls Down",TRUE,2004,80,0.484,91.03,"hip hop"
"Twista","Sunshine (feat. Anthony Hamilton)",TRUE,2004,56,0.294,98.523,"hip hop, pop, R&B"
"Katie Melua","The Closest Thing to Crazy",FALSE,2003,55,0.0312,127.831,"pop, easy listening, jazz"
"Usher","My Boo",FALSE,2004,76,0.118,86.412,"hip hop, pop, R&B"
"Lloyd","Southside",FALSE,2004,59,0.0818,75.007,"hip hop, pop, R&B"
"LMC","Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit",FALSE,2004,59,0.038,128.658,"Dance/Electronic"
"The Streets","Fit but You Know It",TRUE,2004,58,0.299,172.302,"hip hop, Dance/Electronic"
"JUVENILE","Slow Motion",TRUE,2003,64,0.325,172.872,"hip hop, pop"
"Girls Aloud","Love Machine",FALSE,2004,59,0.0621,116.02,"pop, Dance/Electronic"
"Jessica Simpson","With You",FALSE,2003,57,0.108,94.487,"pop, R&B"
"Eminem","Like Toy Soldiers",TRUE,2004,48,0.359,79.178,"hip hop"
"Gary Jules","Mad World (Feat. Michael Andrews)",FALSE,2001,65,0.0374,174.117,"pop"
"Ashlee Simpson","Pieces Of Me",FALSE,2004,56,0.0773,174.001,"pop"
"Alicia Keys","You Don't Know My Name",FALSE,2003,61,0.187,167.078,"pop, R&B"
"Mariah Carey","We Belong Together",FALSE,2005,69,0.0629,139.987,"pop, R&B"
"Mario","Let Me Love You",FALSE,2004,72,0.0922,94.514,"pop, R&B"
"Kanye West","Gold Digger",TRUE,2005,78,0.348,93.034,"hip hop"
"Rihanna","Pon de Replay",FALSE,2005,77,0.159,99.019,"hip hop, pop, R&B"
"50 Cent","Candy Shop",TRUE,2005,79,0.466,125.173,"hip hop, pop"
"James Blunt","You're Beautiful",TRUE,2005,75,0.0278,81.998,"pop"
"Green Day","Boulevard of Broken Dreams",TRUE,2004,72,0.0309,167.046,"rock"
"The Pussycat Dolls","Don't Cha",FALSE,2005,72,0.099,120.003,"pop, R&B"
"Daniel Powter","Bad Day",FALSE,2005,74,0.0309,140.046,"pop"
"Akon","Bananza (Belly Dancer)",FALSE,2004,28,0.132,104.838,"pop"
"Madonna","Hung Up",FALSE,2005,74,0.0452,125.02,"pop"
"50 Cent","Just A Lil Bit",TRUE,2005,76,0.41,96.946,"hip hop, pop"
"Crazy Frog","Axel F",FALSE,2005,67,0.0407,138.045,"pop"
"Eminem","Ass Like That",TRUE,2004,52,0.366,83.093,"hip hop"
"Sean Paul","We Be Burnin'",FALSE,2005,59,0.151,117,"hip hop, pop"
"Gwen Stefani","Rich Girl",FALSE,2004,68,0.0416,98.018,"pop, R&B"
"The Chemical Brothers","Galvanize",FALSE,2005,63,0.0751,104.003,"Dance/Electronic"
"Fort Minor","Remember the Name (feat. Styles of Beyond)",TRUE,2005,73,0.0911,84.858,"hip hop, pop, rock"
"50 Cent","Disco Inferno",TRUE,2005,72,0.231,97.018,"hip hop, pop"
"The Game","How We Do",TRUE,2005,74,0.251,98.012,"hip hop, pop"
"Chris Brown","Run It! (feat. Juelz Santana)",FALSE,2005,71,0.129,100.969,"hip hop, pop, R&B"
"Mariah Carey","It's Like That",FALSE,2005,0,0.0514,95.953,"pop, R&B"
"Black Eyed Peas","My Humps",FALSE,2005,67,0.222,123.95,"hip hop, pop"
"Ciara","Oh (feat. Ludacris)",FALSE,2004,61,0.0506,128.29,"pop, R&B"
"50 Cent","Outta Control - Remix",TRUE,2005,60,0.246,92.029,"hip hop, pop"
"Baby Bash","Baby, I'm Back",TRUE,2005,4,0.105,100.01,"hip hop, pop, R&B, latin"
"Jennifer Lopez","Get Right",FALSE,2005,65,0.12,97.084,"hip hop, pop, R&B"
"JAY-Z","Numb / Encore",TRUE,2004,76,0.166,107.045,"hip hop"
"The Game","Hate It Or Love It",TRUE,2005,77,0.207,99.998,"hip hop, pop"
"Gorillaz","Feel Good Inc.",FALSE,2005,82,0.177,138.559,"hip hop"
"Black Eyed Peas","Don't Phunk With My Heart",FALSE,2005,62,0.061,130.889,"hip hop, pop"
"Akon","Lonely",TRUE,2004,21,0.0352,90.098,"pop"
"Bodyrockers","I Like The Way - Radio Edit",FALSE,2005,54,0.0431,127.988,"rock, Dance/Electronic"
"Sugababes","Push The Button",FALSE,2005,64,0.061,126.016,"pop, R&B"
"Jeezy","Soul Survivor",TRUE,2005,55,0.0459,84.03,"hip hop, pop"
"Eminem","Mockingbird",TRUE,2004,77,0.266,84.039,"hip hop"
"Shakira","La Tortura (feat. Alejandro Sanz)",FALSE,2005,72,0.0427,100.011,"pop, latin"
"Gorillaz","DARE",FALSE,2005,73,0.0372,120.264,"hip hop"
"Snoop Dogg","Signs",TRUE,2004,54,0.127,112.955,"hip hop, pop"
"Robbie Williams","Tripping",FALSE,2005,58,0.0429,118.014,"pop, rock"
"David Banner","Play",TRUE,2005,52,0.126,95.027,"hip hop, pop"
"Trillville","Some Cut",TRUE,2004,50,0.372,84.995,"hip hop, pop"
"D4L","Laffy Taffy",TRUE,2005,63,0.428,77.499,"hip hop, pop"
"Missy Elliott","Lose Control (feat. Ciara & Fat Man Scoop)",TRUE,2005,67,0.121,125.461,"hip hop, pop, R&B"
"Rob Thomas","Lonely No More",FALSE,2005,56,0.109,171.79,"pop, Folk/Acoustic"
"Brian McFadden","Almost Here",FALSE,2004,42,0.0336,77.984,"set()"
"Bobby V.","Slow Down - 12"" Version",FALSE,2005,65,0.103,186.048,"hip hop, pop, R&B"
"Backstreet Boys","Incomplete",FALSE,2005,63,0.0331,133.631,"pop"
"Pretty Ricky","Grind With Me",TRUE,2005,63,0.045,136.518,"hip hop, pop, R&B"
"Kanye West","Diamonds From Sierra Leone - Remix",TRUE,2005,61,0.27,97.043,"hip hop"
"Fat Joe","Get It Poppin' (feat. Nelly) - Radio Version",FALSE,2005,41,0.372,100.813,"hip hop, pop"
"Destiny's Child","Soldier (feat. T.I. & Lil' Wayne)",FALSE,2004,63,0.361,77.49,"pop, R&B"
"Ciara","1, 2 Step (feat. Missy Elliott) - Main",FALSE,2005,52,0.161,113.053,"pop, R&B"
"Amerie","1 Thing",FALSE,2008,52,0.332,125.085,"hip hop, pop, R&B"
"Ludacris","Get Back",TRUE,2004,59,0.263,171.609,"hip hop, pop"
"Franz Ferdinand","Do You Want To",FALSE,2005,61,0.0448,123.091,"rock"
"Natalie Imbruglia","Shiver",FALSE,2005,52,0.0316,94.163,"pop, Folk/Acoustic"
"Gwen Stefani","Hollaback Girl",TRUE,2004,69,0.0929,110.007,"pop, R&B"
"Pretty Ricky","Your Body",TRUE,2005,59,0.113,90.038,"hip hop, pop, R&B"
"Thirty Seconds To Mars","The Kill",FALSE,2005,74,0.0791,182.99,"rock"
"Alicia Keys","Karma",FALSE,2003,50,0.0615,85.098,"pop, R&B"
"2Pac","Ghetto Gospel",TRUE,2004,68,0.0467,80.569,"hip hop"
"Craig David","Don't Love You No More (I'm Sorry)",FALSE,2005,56,0.0245,100.113,"hip hop, pop, R&B"
"Katie Melua","Nine Million Bicycles",FALSE,2005,60,0.0322,82.168,"pop, easy listening, jazz"
"Lil Jon & The East Side Boyz","Lovers And Friends",TRUE,2004,66,0.22,139.861,"hip hop, pop"
"Mariah Carey","Don't Forget About Us - Radio Edit",FALSE,2005,0,0.0395,143.555,"pop, R&B"
"Ying Yang Twins","Wait (The Whisper Song)",TRUE,2005,57,0.347,102.017,"hip hop, pop"
"Will Smith","Switch",FALSE,2020,34,0.18,102.516,"hip hop, pop"
"Bow Wow","Like You (feat. Ciara)",FALSE,2005,66,0.0876,82.017,"hip hop, pop, R&B"
"Kaiser Chiefs","Everyday I Love You Less And Less",FALSE,2005,58,0.0407,160.028,"rock"
"Kelly Clarkson","Behind These Hazel Eyes",FALSE,2004,59,0.0382,90.048,"pop, R&B"
"Black Eyed Peas","Don't Lie",FALSE,2005,61,0.186,89.885,"hip hop, pop"
"Westlife","You Raise Me Up",FALSE,2005,1,0.0314,75.048,"pop"
"Ray J","One Wish",FALSE,2005,62,0.28,127.673,"hip hop, pop, R&B"
"Papa Roach","Scars",FALSE,2004,60,0.0494,89.782,"rock, metal"
"Arctic Monkeys","I Bet You Look Good On The Dancefloor",FALSE,2006,71,0.0356,103.183,"rock"
"Shayne Ward","That's My Goal",FALSE,2006,1,0.0336,68.637,"pop"
"Bow Wow","Let Me Hold You (feat. Omarion)",FALSE,2005,62,0.199,151.518,"hip hop, pop, R&B"
"Kaiser Chiefs","I Predict A Riot",FALSE,2005,63,0.0766,158.842,"rock"
"Usher","Caught Up",FALSE,2004,61,0.0623,110.086,"hip hop, pop, R&B"
"Kelly Clarkson","Because of You",FALSE,2004,71,0.0313,139.92,"pop, R&B"
"3 Doors Down","Let Me Go",FALSE,2012,52,0.0387,92.004,"pop, rock, metal"
"Nickelback","Photograph",FALSE,2005,67,0.0292,145.916,"rock, metal"
"T-Pain","I'm Sprung",FALSE,2005,0,0.108,99.991,"hip hop, pop, R&B"
"Destiny's Child","Cater 2 U",FALSE,2004,58,0.197,125.802,"pop, R&B"
"The Pussycat Dolls","Stickwitu",FALSE,2005,67,0.0587,79.918,"pop, R&B"
"Ryan Cabrera","True",FALSE,2004,62,0.0241,96.938,"pop"
"Stereophonics","Dakota",FALSE,2005,69,0.0675,146.994,"rock, pop"
"Eminem","Like Toy Soldiers",TRUE,2004,67,0.359,79.178,"hip hop"
"Nelly","Over And Over",TRUE,2004,61,0.0803,169.799,"hip hop, pop, R&B"
"Coldplay","Speed of Sound",FALSE,2005,69,0.0577,123.067,"rock, pop"
"KT Tunstall","Suddenly I See",FALSE,2005,71,0.0449,100.38,"World/Traditional, pop, Folk/Acoustic"
"Destiny's Child","Girl",FALSE,2004,55,0.105,89.036,"pop, R&B"
"Kelly Clarkson","Since U Been Gone",FALSE,2004,71,0.0322,130.999,"pop, R&B"
"U2","Sometimes You Can't Make It On Your Own",FALSE,2004,56,0.0247,96,"World/Traditional, rock"
"The All-American Rejects","Dirty Little Secret",FALSE,2005,65,0.0432,143.853,"rock, pop"
"Toby Keith","As Good As I Once Was",FALSE,2005,67,0.0393,119.075,"country"
"Gwen Stefani","Cool",FALSE,2004,59,0.0281,112.019,"pop, R&B"
"Foo Fighters","Best of You",FALSE,2005,76,0.0696,130.198,"rock, metal"
"Shakira","Hips Don't Lie (feat. Wyclef Jean)",FALSE,2005,82,0.0707,100.024,"pop, latin"
"Sean Paul","Temperature",FALSE,2005,78,0.0685,125.04,"hip hop, pop"
"Justin Timberlake","SexyBack (feat. Timbaland)",TRUE,2006,78,0.0789,117,"pop"
"Beyoncé","Irreplaceable",FALSE,2007,70,0.382,175.868,"pop, R&B"
"Amy Winehouse","Rehab",FALSE,2006,71,0.0552,71.815,"R&B"
"Rihanna","SOS",FALSE,2006,73,0.0361,137.046,"hip hop, pop, R&B"
"Gnarls Barkley","Crazy",FALSE,2006,74,0.0336,111.97,"hip hop, R&B"
"Busta Rhymes","Touch It",TRUE,2006,61,0.37,138.335,"hip hop, pop"
"Nelly Furtado","Maneater",FALSE,2006,79,0.0397,132.722,"hip hop, pop, latin"
"Bob Sinclar","Rock This Party - Everybody Dance Now",FALSE,2006,69,0.122,128.009,"pop, Dance/Electronic"
"Diddy","Come to Me (feat. Nicole Scherzinger)",TRUE,2006,55,0.0756,96.998,"hip hop, pop"
"Madonna","Sorry",FALSE,2005,61,0.046,132.971,"pop"
"Chamillionaire","Ridin'",TRUE,2005,71,0.0993,143.052,"hip hop, pop"
"Black Eyed Peas","Pump It",FALSE,2005,75,0.181,153.649,"hip hop, pop"
"Nelly Furtado","Promiscuous",FALSE,2006,82,0.0506,114.328,"hip hop, pop, latin"
"Fedde Le Grand","Put Your Hands Up for Detroit - Radio Edit",FALSE,2015,39,0.229,127.919,"pop, Dance/Electronic"
"Sean Paul","(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version",FALSE,2006,58,0.225,95.824,"hip hop, pop"
