"artist","song","explicit","year","popularity","speechiness","tempo","genre"
"LeAnn Rimes","Can't Fight The Moonlight",FALSE,2001,65,0.0497,97.865,"pop, country"
"Oasis","Go Let It Out",FALSE,2000,0,0.0333,84.192,"Folk/Acoustic, rock"
"DJ Ötzi","Hey Baby (Radio Mix)",FALSE,2010,58,0.046,135.099,"pop, easy listening, Dance/Electronic"
"P!nk","Most Girls",FALSE,2000,52,0.0311,97.922,"pop"
"Mariah Carey","Against All Odds (Take A Look at Me Now) (feat. Westlife)",FALSE,2011,0,0.0315,117.338,"pop, R&B"
"Craig David","Fill Me In",FALSE,2000,60,0.0365,132.493,"hip hop, pop, R&B"
"Christina Aguilera","I Turn to You",FALSE,1999,61,0.0376,127.177,"pop"
"Madonna","American Pie",FALSE,2000,58,0.036,124.036,"pop"
"Red Hot Chili Peppers","Otherside",FALSE,1999,78,0.0574,123.229,"rock"
"Sammie","I Like It",FALSE,2000,55,0.0617,129.963,"hip hop, pop, R&B"
"Craig David","7 Days",FALSE,2000,70,0.0487,83.014,"hip hop, pop, R&B"
"Santana","Maria Maria (feat. The Product G&B)",FALSE,1999,66,0.126,97.911,"rock, blues, latin"
"Kandi","Don't Think I'm Not",FALSE,2000,55,0.0445,134.007,"pop, R&B"
"P!nk","There You Go",FALSE,2000,55,0.0917,107.908,"pop"
"Vengaboys","Shalala Lala",FALSE,2000,58,0.0328,124.017,"pop"
"Ronan Keating","Life Is A Rollercoaster",FALSE,2000,59,0.0302,118.981,"pop, rock"
"Madison Avenue","Don't Call Me Baby",FALSE,1999,56,0.0311,124.999,"Dance/Electronic"
"Destiny's Child","Jumpin', Jumpin'",FALSE,1999,70,0.0567,88.997,"pop, R&B"
"Céline Dion","That's the Way It Is",FALSE,1999,64,0.0434,93.04,"pop"
"3 Doors Down","Kryptonite",FALSE,2000,78,0.0286,99.009,"pop, rock, metal"
"Carl Thomas","I Wish",FALSE,2000,52,0.0337,89.824,"pop, R&B"
"Mystikal","Shake Ya Ass",TRUE,2000,57,0.32,98.054,"hip hop, pop"
"Fuel","Hemorrhage (In My Hands)",FALSE,2000,49,0.0404,152.034,"rock, pop, metal"
"Donell Jones","Where I Wanna Be",FALSE,1999,57,0.0298,102.053,"pop, R&B"
"Savage Garden","Crash and Burn",FALSE,1999,54,0.028,102.03,"pop"
"Westlife","My Love",FALSE,2000,68,0.0255,144.142,"pop"
"All Saints","Pure Shores",FALSE,2000,62,0.0242,100.618,"pop"
"Destiny's Child","Independent Women, Pt. 1",FALSE,2001,65,0.206,97.954,"pop, R&B"
"*NSYNC","It's Gonna Be Me",FALSE,2000,60,0.0801,165.09,"pop"
"Erykah Badu","Bag Lady",FALSE,2000,54,0.0841,151.181,"hip hop, R&B"
"Marc Anthony","You Sang To Me",FALSE,1999,56,0.0296,165.98,"pop, latin"
"Matchbox Twenty","Bent",FALSE,2000,54,0.0386,95.468,"pop, rock"
"Gabrielle","Rise",FALSE,2001,60,0.026,144.673,"pop, R&B"
"Backstreet Boys","Shape of My Heart",FALSE,2000,70,0.0296,96.102,"pop"
