artist,song,explicit,year,popularity,speechiness,tempo
Limp Bizkit,Rollin' (Air Raid Vehicle),TRUE,2000,73,0.171,96.306
Lasgo,Something,FALSE,2001,65,0.0439,140.01
iio,Rapture (feat.Nadia Ali),FALSE,2006,54,0.0377,123.943
Emma Bunton,What Took You So Long?,FALSE,2001,54,0.0307,118.011
112,It's Over Now,FALSE,2001,57,0.0409,97.988
Blue,All Rise,FALSE,2001,63,0.0324,97.996
Jessica Simpson,Irresistible,FALSE,2001,43,0.0556,93.013
Crazy Town,Butterfly,FALSE,1999,71,0.081,103.502
Michael Jackson,You Rock My World,FALSE,2001,64,0.185,95
Eve,Let Me Blow Ya Mind,TRUE,2001,73,0.107,90.032
Jennifer Lopez,Ain't It Funny,FALSE,2001,0,0.0481,99.825
Brandy,Another Day in Paradise - R&B-Version,FALSE,2002,50,0.0327,102.043
Nickelback,How You Remind Me,FALSE,2001,78,0.033,172.094
Daft Punk,One More Time,FALSE,2001,76,0.133,122.746
Outkast,Ms. Jackson,TRUE,2000,82,0.269,94.948
Fragma,Everytime You Need Me - Radio Version,FALSE,2001,50,0.0318,137.029
Mariah Carey,Loverboy,FALSE,2001,42,0.124,103.141
Dido,Thank You,FALSE,1999,73,0.0427,79.984
Joe,Stutter (feat. Mystikal) - Double Take Remix,FALSE,2000,57,0.117,89.989
P.O.D.,Youth of the Nation,FALSE,2001,69,0.0621,97.867
Jennifer Lopez,Play,TRUE,2001,57,0.162,104.719
Missy Elliott,Get Ur Freak On,TRUE,2001,68,0.247,177.87
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),FALSE,2008,52,0.0612,100.851
Christina Milian,AM To PM,FALSE,2001,60,0.12,105.005
Roger Sanchez,Another Chance,FALSE,2000,50,0.0312,127.993
Gorillaz,Clint Eastwood,TRUE,2001,74,0.171,167.953
2Pac,Until The End Of Time,TRUE,2001,57,0.203,96.976
Tamia,Stranger in My House,FALSE,2000,48,0.0297,119.94
Mary J. Blige,No More Drama,FALSE,2001,61,0.124,97.914
Jennifer Lopez,Love Don't Cost a Thing,FALSE,2001,67,0.0707,97.577
Jamiroquai,Little L,FALSE,2001,65,0.129,121.906
Case,Missing You,FALSE,2001,55,0.0553,86.31
112,Peaches & Cream,FALSE,2001,63,0.334,203.862
Five,Let's Dance - Radio Edit,FALSE,2001,47,0.0867,118.007
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],FALSE,2001,54,0.0638,129.078
Alien Ant Farm,Smooth Criminal,FALSE,2001,75,0.0582,126.928
Erick Sermon,Music (feat. Marvin Gaye),TRUE,2001,57,0.203,100.01
D12,Purple Pills,TRUE,2001,68,0.16,125.25
Usher,Pop Ya Collar - Radio Edit,FALSE,2016,26,0.0946,106.957
Madonna,Don't Tell Me,FALSE,2000,53,0.0594,99.965
Blue,If You Come Back,FALSE,2001,58,0.0319,78.375
Atomic Kitten,Eternal Flame - Single Version,FALSE,2001,58,0.0318,83.293
Jagged Edge,Where the Party At (feat. Nelly),FALSE,2001,67,0.226,129.491
Afroman,Because I Got High,TRUE,2001,68,0.488,166.01
S Club 7,Don't Stop Movin',FALSE,2001,63,0.0329,117.033
Nelly Furtado,Turn Off The Light,FALSE,2000,1,0.0927,180.184
The Supermen Lovers,Starlight - Radio Edit,FALSE,2001,61,0.0373,127.487
Mis-Teeq,All I Want - Sunship Radio Edit,FALSE,2004,46,0.0835,134.079
Jagged Edge,Promise,FALSE,2000,56,0.0872,128.002
S Club 7,Have You Ever,FALSE,2001,60,0.0325,139.909
Enya,Only Time,FALSE,2000,69,0.0301,82.803
Faith Hill,There You'll Be,FALSE,2001,60,0.0306,128.98
Ronan Keating,Lovin' Each Day,FALSE,2000,58,0.0633,106.676
Destiny's Child,Bootylicious,FALSE,2001,64,0.275,103.376
Steps,It's the Way You Make Me Feel,FALSE,2000,53,0.0239,105.006
Sunshine Anderson,Heard It All Before,FALSE,2001,56,0.216,96.951
Lenny Kravitz,Again,FALSE,2000,68,0.0271,79.166
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,FALSE,2002,46,0.0598,133.592
DB Boulevard,Point Of View - Radio Edit,FALSE,2018,0,0.0287,129.006
Janet Jackson,All For You,FALSE,2001,65,0.0736,113.525
Atomic Kitten,Whole Again,FALSE,2001,66,0.0413,94.019
Ja Rule,Livin' It Up,FALSE,2001,64,0.311,106.095
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,FALSE,2001,54,0.0493,131.044
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,TRUE,2001,66,0.151,83.46
Musiq Soulchild,Love,FALSE,2000,0,0.0499,99.738
So Solid Crew,21 Seconds,TRUE,2001,51,0.241,137.03
Robbie Williams,Eternity,FALSE,2001,48,0.0265,77.967
Basement Jaxx,Romeo,FALSE,2001,0,0.0491,126.853
Ludacris,Southern Hospitality (Featuring Pharrell),TRUE,2000,54,0.247,95.158
Nelly,Ride Wit Me,TRUE,2000,75,0.0478,101.875
Trick Daddy,I'm a Thug,TRUE,2001,59,0.122,139.976
Travis,Sing,FALSE,2001,68,0.0497,163.142
JAY-Z,Izzo (H.O.V.A.),TRUE,2001,63,0.342,84.411
Gabrielle,Out Of Reach,FALSE,2001,69,0.0452,182.862
OPM,Heaven Is a Halfpipe (If I Die),TRUE,2000,56,0.0349,95.9
K-Ci & JoJo,Crazy,FALSE,2019,30,0.0258,116.097
Staind,It's Been Awhile,TRUE,2001,64,0.0338,116.529
3LW,No More (Baby I'ma Do Right),FALSE,2000,56,0.0631,88.933
Ginuwine,Differences,FALSE,2001,65,0.0558,62.876
*NSYNC,Gone,FALSE,2001,45,0.0614,113.922
Lifehouse,Hanging By A Moment,FALSE,2000,61,0.0349,124.599
Nelly,Dilemma,TRUE,2002,77,0.14,168.189
Eminem,Without Me,TRUE,2002,87,0.0738,112.238
Avril Lavigne,Complicated,FALSE,2002,78,0.0459,77.987
Vanessa Carlton,A Thousand Miles,FALSE,2002,75,0.0379,94.931
The Calling,Wherever You Will Go,FALSE,2001,72,0.0267,112.027
Shakira,Underneath Your Clothes,FALSE,2001,64,0.0415,165.508
No Doubt,Underneath It All,FALSE,2001,27,0.0684,138.202
Truth Hurts,Addictive,TRUE,2002,58,0.147,99.271
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),TRUE,2002,68,0.306,85.996
Eminem,'Till I Collapse,TRUE,2002,85,0.186,171.447
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",FALSE,2004,69,0.483,199.764
Christina Milian,When You Look At Me - Radio Edit,FALSE,2001,60,0.127,108.955
