artist,song,explicit,year,popularity,speechiness,tempo,loudness,acousticness,valence
My Chemical Romance,Teenagers,FALSE,2006,80,0.0632,111.647,-2.18,0.515,0.803
P!nk,So What,TRUE,2008,76,0.0425,126.019,-2.18,0.515,0.803
Flo Rida,Low (feat. T-Pain),FALSE,2008,80,0.0791,128.008,-2.189,0.000665,0.464
Linkin Park,Numb,FALSE,2003,81,0.0381,110.018,-2.208,0.117,0.797
Shawn Mendes,I Know What You Did Last Summer,FALSE,2015,73,0.0876,113.939,-2.215,0.00621,0.375
Franz Ferdinand,Take Me Out,FALSE,2004,77,0.0377,104.561,-2.221,0.28,0.547
Ray J,One Wish,FALSE,2005,62,0.28,127.673,-2.221,0.35,0.904
Ashanti,Only U - No Intro,FALSE,2004,56,0.0434,94.547,-2.261,0.103,0.965
Grimes,Oblivion,FALSE,2012,0,0.0338,155.974,-2.266,0.0488,0.412
Lily Allen,The Fear,TRUE,2009,53,0.0404,134.002,-2.278,0.249,0.54
The Weeknd,The Hills,TRUE,2015,84,0.0515,113.003,-2.28,0.154,0.576
Switchfoot,Meant to Live,FALSE,2003,61,0.0457,151.551,-2.281,0.039,0.966
Calvin Harris,Let's Go (feat. Ne-Yo),FALSE,2012,66,0.0595,128.016,-2.302,0.0145,0.576
Rihanna,Russian Roulette,TRUE,2009,64,0.0447,80.051,-2.336,0.0431,0.692
James Morrison,You Give Me Something,FALSE,2006,64,0.114,79.753,-2.36,0.0193,0.73
Eminem,River (feat. Ed Sheeran),TRUE,2017,72,0.516,90.09,-2.384,0.205,0.534
Calvin Harris,One Kiss (with Dua Lipa),FALSE,2018,81,0.11,123.994,-2.396,0.0435,0.36
Girls Aloud,Love Machine,FALSE,2004,59,0.0621,116.02,-2.407,0.00136,0.74
Santana,Into the Night (feat. Chad Kroeger),FALSE,2007,57,0.0331,127.981,-2.423,0.121,0.845
Dr. Dre,The Next Episode,TRUE,1999,82,0.27,95.295,-2.429,0.0281,0.309
Avril Lavigne,When You're Gone,FALSE,2007,68,0.0323,142.034,-2.429,0.00485,0.881
Maroon 5,Makes Me Wonder,TRUE,2007,62,0.0357,113.996,-2.433,0.000722,0.669
